TransactionAmount,TransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,Target,Cluster
292.56,446,0,9,1,68.0,2,61.00000000000001,1.0,4638.37,86,1,1
386.52,1054,1,16,1,48.0,1,27.999999999999986,1.0,5630.61,46,2,2
112.07,1833,1,18,1,23.0,3,51.0,1.0,930.3000000000002,313,0,0
568.52,1864,1,16,0,46.0,1,152.0,1.0,5499.91,360,0,0
263.99,885,1,9,1,79.0,2,227.0,2.0,4175.02,279,2,2
349.64,2091,1,19,2,48.0,1,226.0,1.0,6651.62,106,0,0
601.4,984,0,30,1,56.0,1,104.0,1.0,8458.29,98,2,2
5.769999999999982,2057,1,5,2,50.0,0,124.0,1.0,13988.12,308,0,0
201.33,602,0,26,1,42.0,1,186.0,1.0,2585.07,317,1,1
298.42,756,1,16,1,56.0,2,225.0,1.0,3014.75,229,1,1
521.06,721,1,0,1,25.0,3,128.0,1.0,1951.42,346,1,1
117.28,259,0,2,2,60.0,1,16.0,1.0,3665.77,48,1,1
189.12,2123,0,16,3,32.0,1,103.0,1.0,977.0100000000002,139,0,0
133.55000000000004,1300,1,1,0,44.0,1,220.0,1.0,3846.28,235,2,2
143.21,92,1,9,2,35.0,1,135.0,1.0,6374.82,183,1,1
24.769999999999982,1222,1,4,0,62.0,2,55.0,1.0,5866.01,351,2,2
233.92,1976,0,17,2,26.0,3,280.0,1.0,6537.62,142,0,0
1212.51,1849,1,16,1,20.0,3,24.0,1.0,605.9499999999998,28,0,0
232.12,2461,1,43,0,37.0,1,51.0,1.0,6689.87,174,0,0
91.53,499,1,25,1,44.0,0,69.0,1.0,14676.05,312,1,1
120.29000000000002,2391,1,24,1,19.0,3,77.0,1.0,1362.3900000000003,27,0,0
174.25,1298,1,39,2,50.0,0,67.0,1.0,10528.34,246,2,2
183.71,1125,1,10,0,38.0,1,102.0,1.0,552.5200000000004,208,2,2
345.39,2485,0,31,3,58.0,1,80.0,1.0,6451.96,113,0,0
922.55,145,1,11,0,63.0,2,87.0,1.0,4715.84,283,1,1
259.91,2076,1,10,2,49.0,0,170.0,1.0,7176.86,195,0,0
154.71,1204,1,36,2,34.0,0,157.0,1.0,1523.7200000000003,199,2,2
1340.19,1825,0,2,2,54.0,1,30.0,1.0,8654.28,30,0,0
24.560000000000002,1977,1,23,1,64.0,0,69.0,1.0,9869.93,341,0,0
568.07,1585,2,42,0,48.0,0,115.0,1.0,10556.81,69,2,2
9.610000000000014,1149,0,36,2,58.0,0,179.0,1.0,12883.91,167,2,2
392.96,2166,1,18,2,24.0,3,100.0,1.0,791.6499999999996,135,0,0
716.93,1711,0,25,2,60.0,2,34.0,1.0,4064.02,109,0,0
223.85,1834,1,18,0,53.0,1,55.0,4.0,2929.91,98,0,0
230.66,592,1,15,1,21.0,3,135.0,1.0,618.0500000000002,260,1,1
644.17,430,1,35,0,29.0,1,72.0,1.0,1143.5199999999995,101,1,1
508.68,1160,0,23,1,51.0,1,127.0,1.0,7708.41,189,2,2
858.63,719,0,37,1,27.0,3,185.0,1.0,1872.96,263,1,1
25.360000000000014,1293,1,21,0,57.0,1,78.0,1.0,201.03999999999996,281,2,2
147.62,1622,1,5,1,71.0,2,133.0,1.0,2115.8,59,2,2
115.01999999999998,1680,1,35,1,37.0,0,175.0,1.0,7643.66,135,0,0
383.37,162,1,13,1,30.0,1,24.0,1.0,8901.93,283,1,1
98.54000000000002,1469,0,12,2,20.0,3,167.0,1.0,9383.43,219,2,2
83.23999999999998,1942,2,13,1,55.0,0,164.0,1.0,1181.3100000000004,268,0,0
196.16,377,1,41,1,27.0,1,146.0,1.0,9418.86,129,1,1
129.94,9,1,19,0,32.0,1,235.0,1.0,7954.92,12,1,1
306.9,2265,1,7,2,46.0,1,51.0,1.0,9418.08,264,0,0
114.98000000000002,2052,1,39,2,59.0,2,80.0,1.0,6144.68,181,0,0
756.59,457,1,34,1,27.0,3,17.0,1.0,420.64999999999964,316,1,1
503.76,2245,1,20,2,22.0,3,35.0,1.0,447.8199999999997,179,0,0
143.03,1384,1,35,0,63.0,2,147.0,1.0,7981.45,258,2,2
1045.22,2195,1,8,0,53.0,2,73.0,1.0,1829.9,72,0,0
245.54,555,2,27,0,25.0,3,180.0,1.0,985.0599999999995,243,1,1
254.37,732,0,9,2,51.0,1,174.0,1.0,8849.26,33,1,1
213.76,429,0,9,0,78.0,2,282.0,1.0,3528.72,193,1,1
327.86,267,1,14,2,40.0,1,104.0,1.0,480.15999999999985,7,1,1
2.5,1320,1,36,2,47.0,0,107.0,1.0,12145.27,210,2,2
300.08,1875,0,2,2,68.0,0,47.0,1.0,13546.75,354,0,0
56.97999999999999,2478,0,28,0,43.0,1,122.0,2.0,5688.37,79,0,0
407.65,1236,1,4,2,26.0,1,62.0,1.0,8346.64,360,2,2
115.82999999999998,928,1,14,1,39.0,1,167.0,1.0,6481.04,219,2,2
53.56999999999999,1508,1,15,0,69.0,2,121.0,1.0,1651.33,140,2,2
63.34,2155,0,11,2,46.0,0,165.0,1.0,11174.94,230,0,0
317.87,2485,1,11,2,27.0,3,91.0,1.0,145.5,308,0,0
331.65,1568,1,32,2,41.0,1,61.00000000000001,1.0,4172.57,276,2,2
5.0400000000000205,2231,1,42,0,56.0,2,41.0,1.0,5558.36,264,0,0
214.54,1414,0,11,2,70.0,0,247.0,1.0,11151.53,332,2,2
598.81,1633,1,30,1,57.0,0,158.0,1.0,1415.52,230,2,2
841.28,1452,1,40,2,26.0,3,80.0,1.0,1103.6400000000003,215,2,2
38.14999999999998,1661,1,23,2,26.0,3,108.0,1.0,303.6800000000003,79,2,2
1036.66,1265,1,35,1,58.0,0,144.0,1.0,5541.57,181,2,2
124.72,1208,1,28,1,33.0,1,105.0,1.0,6309.8,62,2,2
302.45,1795,0,35,1,78.0,2,40.0,1.0,5133.61,331,0,0
208.04,2179,1,21,2,47.0,1,273.0,1.0,9344.98,142,0,0
5.769999999999982,2159,0,20,1,23.0,3,254.0,1.0,1117.9699999999998,269,0,0
381.33,1530,1,0,0,56.0,0,75.0,1.0,11835.35,189,2,2
16.160000000000025,1932,1,25,0,50.0,0,124.0,1.0,14401.17,335,0,0
486.08,1130,1,28,2,18.0,3,68.0,1.0,1748.69,40,2,2
336.39,101,1,35,1,21.0,3,18.0,1.0,1000.46,214,1,1
997.43,2193,1,39,2,69.0,0,118.0,1.0,6810.05,122,0,0
234.57,1617,1,6,2,23.0,3,120.0,1.0,263.97999999999956,144,2,2
6.0,1997,1,6,2,30.0,0,246.0,1.0,5442.76,200,0,0
1049.92,1989,1,11,0,80.0,2,21.0,1.0,2037.85,251,0,0
227.14,1210,1,5,0,18.0,3,294.0,1.0,341.9399999999996,310,2,2
233.74,2002,0,28,2,66.0,2,17.0,1.0,1066.5900000000001,293,0,0
45.849999999999994,316,1,20,0,20.0,3,92.0,1.0,1659.15,61,1,1
973.39,1606,1,34,1,77.0,2,296.0,1.0,2042.2200000000003,320,2,2
415.5,1372,1,22,0,66.0,0,141.0,1.0,10113.66,240,2,2
265.76,240,1,30,2,54.0,2,92.0,1.0,4446.17,354,1,1
69.4,1344,1,41,2,80.0,2,113.0,1.0,6452.77,161,2,2
332.93,2170,0,0,1,35.0,1,293.0,1.0,2788.2,111,0,0
267.9,1874,1,35,2,20.0,3,160.0,1.0,596.1599999999999,131,0,0
496.03,2065,1,37,1,61.0,0,265.0,1.0,12904.66,198,0,0
376.26,308,1,40,0,37.0,1,245.0,1.0,9062.4,215,1,1
83.01999999999998,1641,0,39,2,36.0,1,171.0,1.0,9009.56,277,2,2
93.25999999999999,1364,0,27,2,20.0,3,72.0,1.0,1152.1999999999998,340,2,2
803.37,703,0,22,1,68.0,0,129.0,1.0,12168.37,137,1,1
35.75999999999999,1749,1,5,1,23.0,3,122.0,1.0,611.8599999999997,316,0,0
28.529999999999973,989,1,42,2,62.0,0,99.0,1.0,8670.53,7,2,2
139.53,1876,0,21,2,53.0,0,177.0,1.0,10098.86,68,0,0
307.57,52,1,11,1,33.0,0,285.0,1.0,5307.74,10,1,1
60.650000000000006,964,0,40,1,56.0,2,53.0,1.0,1047.2799999999997,179,2,2
74.86000000000001,1497,1,26,1,70.0,0,125.0,1.0,6921.48,76,2,2
231.91,204,1,22,0,34.0,1,165.0,1.0,112.76000000000022,351,1,1
126.20999999999998,297,1,3,1,75.0,2,268.0,1.0,5669.66,139,1,1
506.28,798,0,6,2,53.0,2,162.0,2.0,1309.9499999999998,166,1,1
304.35,2295,1,15,1,31.0,1,36.0,1.0,4057.1,142,0,0
281.85,890,1,11,0,22.0,3,109.0,1.0,1585.98,75,2,2
777.88,544,1,15,1,31.0,1,17.0,1.0,6825.55,172,1,1
119.18,1571,1,20,1,56.0,2,96.0,1.0,5516.5,71,2,2
177.19,876,1,6,2,76.0,2,43.000000000000014,1.0,5343.3,7,2,2
260.88,970,1,10,1,22.0,3,36.0,1.0,903.0500000000002,29,2,2
169.47,560,1,6,2,24.0,3,19.0,1.0,1806.1599999999999,74,1,1
73.23000000000002,905,1,32,1,26.0,3,13.999999999999986,1.0,787.7399999999998,288,2,2
1362.5500000000002,270,1,12,0,29.0,1,106.0,1.0,2429.68,281,1,1
792.57,916,1,3,0,19.0,3,164.0,1.0,770.3699999999999,255,2,2
237.06,2381,1,31,2,71.0,2,46.0,1.0,1182.7699999999995,87,0,0
34.170000000000016,2189,0,30,2,54.0,1,54.0,1.0,726.5500000000002,6,0,0
740.25,1310,1,30,2,41.0,0,123.0,1.0,14464.3,124,2,2
453.54,723,1,0,0,58.0,0,82.0,1.0,12046.3,342,1,1
300.47,2116,1,17,1,73.0,2,100.0,1.0,7885.64,97,0,0
110.93,656,0,41,1,19.0,3,201.0,1.0,1952.35,269,1,1
201.69,22,1,19,0,59.0,0,299.0,1.0,7328.52,233,1,1
399.21,181,1,32,0,59.0,1,109.0,1.0,3210.39,118,1,1
1041.88,1657,1,17,2,78.0,2,57.0,1.0,5726.2,21,2,2
630.36,434,1,23,0,62.0,2,52.0,1.0,1363.65,351,1,1
10.939999999999998,1993,0,30,0,60.0,1,245.0,1.0,1241.9899999999998,329,0,0
215.9,28,1,20,0,38.0,0,235.0,1.0,7873.28,240,1,1
1422.5500000000002,1259,1,42,1,79.0,2,165.0,1.0,5674.32,27,2,2
226.37,1735,2,21,1,49.0,0,141.0,1.0,9840.04,213,0,0
444.89,1683,0,19,1,43.0,0,101.0,1.0,10328.23,326,0,0
280.57,174,0,41,2,25.0,3,24.0,1.0,293.2399999999998,241,1,1
488.54,1211,1,17,1,52.0,1,132.0,1.0,7486.63,63,2,2
3.3000000000000114,577,0,20,1,50.0,0,131.0,1.0,11385.37,228,1,1
199.39,1526,2,7,1,69.0,2,165.0,1.0,7264.79,163,2,2
20.360000000000014,1338,1,40,1,62.0,2,75.0,1.0,2762.48,291,2,2
493.11,1380,1,7,1,53.0,2,236.0,1.0,7432.99,98,2,2
307.41,1073,1,20,0,19.0,3,13.999999999999986,1.0,1057.0000000000005,205,2,2
11.180000000000007,2267,1,1,2,43.0,0,161.0,1.0,5956.89,237,0,0
313.82,2147,1,40,1,59.0,1,151.0,1.0,7261.59,139,0,0
140.98,954,1,22,1,60.0,1,100.0,1.0,8127.48,349,2,2
288.04,1558,1,10,0,68.0,2,63.0,1.0,1748.02,217,2,2
800.55,805,1,28,0,31.0,1,108.0,1.0,9660.22,26,1,1
485.54,238,1,15,0,46.0,1,143.0,1.0,6371.51,322,1,1
521.15,327,1,18,0,54.0,0,214.0,1.0,9442.47,68,1,1
304.93,375,1,32,0,65.0,0,158.0,1.0,13531.22,112,1,1
432.08,1377,2,12,0,40.0,0,145.0,1.0,11500.62,322,2,2
694.2,2320,1,25,0,61.0,2,72.0,1.0,1389.37,60,0,0
116.86000000000001,552,1,21,0,55.0,1,171.0,1.0,6706.56,351,1,1
74.88,950,1,1,0,25.0,3,202.0,1.0,420.6700000000001,83,2,2
890.24,1243,0,19,2,33.0,1,161.0,1.0,5140.93,69,2,2
361.27,41,1,29,0,63.0,0,180.0,1.0,7945.57,224,1,1
131.56,1968,1,5,1,44.0,0,42.0,1.0,5873.54,49,0,0
485.51,2251,0,25,2,76.0,2,37.0,1.0,3074.45,99,0,0
547.87,1256,1,8,0,64.0,2,131.0,1.0,6155.76,248,2,2
457.3,1172,1,41,2,28.0,1,15.0,1.0,8318.29,90,2,2
506.24,91,1,6,0,58.0,1,64.0,1.0,230.09000000000015,316,1,1
486.59,2395,1,16,1,57.0,2,119.0,1.0,2513.56,219,0,0
163.68,1817,1,36,1,41.0,0,292.0,1.0,10090.05,277,0,0
581.65,61,1,4,0,22.0,3,176.0,1.0,480.1899999999996,196,1,1
52.01000000000002,2090,1,23,0,48.0,0,85.0,1.0,1120.8799999999997,303,0,0
630.24,2262,1,4,0,21.0,3,62.0,1.0,370.8100000000004,328,0,0
523.74,2060,1,28,0,43.0,0,159.0,1.0,13498.55,29,0,0
705.6,346,1,31,1,40.0,0,124.0,3.0,14804.7,161,1,1
217.5,2000,0,10,1,46.0,1,35.0,1.0,3057.4,35,0,0
91.48000000000002,148,1,13,0,51.0,0,141.0,1.0,14942.78,174,1,1
5.25,2132,1,38,0,39.0,0,49.0,1.0,14143.32,358,0,0
54.03,1747,0,25,0,56.0,2,161.0,1.0,6736.3,73,0,0
736.73,2220,1,22,1,48.0,1,10.0,1.0,3313.07,270,0,0
368.91,489,2,41,1,54.0,0,13.999999999999986,1.0,829.71,245,1,1
33.06,111,0,13,2,53.0,2,170.0,1.0,1540.87,20,1,1
66.5,809,0,21,2,32.0,1,144.0,1.0,6820.23,103,1,1
177.08,42,1,19,3,35.0,0,85.0,1.0,13475.14,357,1,1
588.54,241,1,32,1,32.0,1,130.0,1.0,714.4499999999998,253,1,1
173.5,1991,1,26,0,21.0,3,282.0,1.0,1306.9099999999999,328,0,0
78.32999999999998,1378,0,22,2,56.0,1,189.0,1.0,7255.33,115,2,2
40.65999999999997,2473,1,21,1,59.0,2,156.0,1.0,1153.8400000000001,304,0,0
97.22,344,0,1,1,77.0,2,55.0,1.0,6647.73,293,1,1
34.06999999999999,2082,1,30,1,22.0,3,81.0,1.0,8709.77,58,0,0
492.06,1965,1,14,2,23.0,3,74.0,1.0,857.8999999999996,213,0,0
842.01,1696,0,41,2,53.0,0,185.0,1.0,509.4499999999998,130,0,0
73.55000000000001,50,1,1,0,51.0,1,158.0,1.0,2812.06,297,1,1
760.53,1642,1,31,2,57.0,1,118.0,1.0,6179.91,192,2,2
371.69,2414,1,37,1,67.0,2,143.0,1.0,3484.32,216,0,0
218.96,1605,1,39,0,18.0,3,13.0,1.0,754.21,252,2,2
227.39,2429,1,1,2,18.0,3,65.0,1.0,751.0900000000001,312,0,0
237.99,831,0,18,1,39.0,0,86.0,1.0,8510.09,312,1,1
186.6,1219,1,43,2,58.0,0,13.0,1.0,1508.7200000000003,1,2,2
341.15,288,1,38,2,18.0,3,148.0,1.0,511.3699999999999,226,1,1
434.58,1656,1,22,0,59.0,0,215.0,1.0,12648.32,112,2,2
312.88,963,0,32,1,54.0,1,44.0,1.0,233.21000000000004,60,2,2
75.15,1738,1,4,0,23.0,3,154.0,1.0,1092.9199999999996,276,0,0
23.30000000000001,1500,1,20,0,59.0,1,161.0,1.0,6711.15,103,2,2
47.379999999999995,253,0,39,2,25.0,3,61.00000000000001,1.0,459.3699999999999,42,1,1
512.81,1309,1,34,1,79.0,2,30.0,1.0,6994.34,334,2,2
488.15,1376,1,21,1,43.0,1,168.0,1.0,7071.09,289,2,2
12.819999999999993,647,1,13,0,44.0,1,156.0,1.0,9045.19,122,1,1
66.89999999999998,709,0,5,2,79.0,2,129.0,4.0,5238.71,255,1,1
535.91,1237,1,19,2,43.0,1,22.0,1.0,9642.12,265,2,2
270.72,1213,0,42,2,26.0,1,53.0,1.0,6263.96,281,2,2
97.98000000000002,223,1,10,1,72.0,2,18.0,1.0,7460.33,140,1,1
196.08,1567,1,37,2,61.0,2,98.0,1.0,4233.82,8,2,2
251.18,995,1,38,0,42.0,1,246.0,1.0,8303.9,92,2,2
44.52000000000001,598,1,12,2,28.0,3,205.0,1.0,314.27999999999975,245,1,1
178.87,941,1,3,2,35.0,0,180.0,1.0,5241.23,233,2,2
1176.28,2398,0,18,0,54.0,1,174.0,5.0,323.6899999999996,320,0,0
386.68,2045,1,27,1,46.0,0,128.0,1.0,6863.06,5,0,0
167.14,754,1,10,2,76.0,2,20.0,1.0,3877.73,3,1,1
345.22,1648,1,14,1,69.0,2,253.0,1.0,4046.58,73,2,2
74.85,2435,1,33,0,72.0,2,117.0,1.0,2409.73,325,0,0
671.73,1918,1,42,1,58.0,1,54.0,1.0,5211.88,340,0,0
255.04,2200,1,39,0,45.0,1,152.0,1.0,6217.86,314,0,0
45.77000000000001,261,1,30,2,25.0,3,109.0,1.0,5978.12,98,1,1
329.69,60,0,35,2,26.0,3,66.0,1.0,1671.6599999999999,206,1,1
362.04,1249,0,30,1,58.0,0,198.0,2.0,8421.88,144,2,2
11.920000000000016,1879,1,36,3,53.0,0,52.0,1.0,14611.9,298,0,0
47.420000000000016,2394,1,36,0,64.0,0,27.999999999999986,1.0,8253.52,153,0,0
35.99000000000001,130,1,24,1,63.0,2,129.0,1.0,4489.79,174,1,1
151.19,815,0,27,1,37.0,0,96.0,1.0,11903.82,292,1,1
242.62,1251,0,37,2,22.0,3,234.0,1.0,483.02000000000044,46,2,2
48.72,1828,1,41,1,21.0,3,17.0,1.0,816.0799999999999,64,0,0
43.46000000000001,1323,1,4,0,25.0,3,80.0,1.0,578.0599999999995,261,2,2
1036.21,1325,1,29,2,25.0,3,126.0,1.0,477.3000000000002,358,2,2
443.79,1882,1,19,0,53.0,2,87.0,1.0,3133.85,292,0,0
365.14,2280,1,9,2,68.0,2,57.0,1.0,5894.09,62,0,0
757.41,817,1,20,0,22.0,3,37.0,1.0,9532.42,160,1,1
20.54000000000002,1541,1,13,1,51.0,1,72.0,1.0,5327.03,65,2,2
475.36,1829,1,31,0,34.0,1,105.0,1.0,2000.6,36,0,0
34.74000000000001,1163,1,37,0,56.0,2,24.0,1.0,6827.57,279,2,2
689.54,456,1,28,1,27.0,3,93.0,1.0,1633.7600000000002,150,1,1
211.18,1914,1,42,0,73.0,2,90.0,1.0,4069.17,326,0,0
211.36,2186,0,13,1,51.0,1,286.0,1.0,7943.47,286,0,0
744.41,1383,0,15,2,39.0,1,107.0,1.0,8842.47,303,2,2
61.43000000000001,1192,1,31,2,24.0,3,170.0,1.0,1882.77,115,2,2
167.44,1778,1,23,1,37.0,0,82.0,1.0,12526.71,265,0,0
361.46,659,1,26,2,21.0,3,83.0,1.0,4737.84,258,1,1
378.85,1106,1,41,1,78.0,2,126.0,1.0,2300.53,164,2,2
241.11,1105,1,8,1,30.0,0,55.0,1.0,12385.05,265,2,2
131.93,1689,0,13,1,31.0,1,13.0,1.0,4547.06,27,0,0
20.279999999999973,1313,1,28,2,36.0,1,213.0,1.0,2047.83,219,2,2
415.88,771,1,36,1,70.0,0,170.0,1.0,10008.33,98,1,1
1221.65,1812,1,10,2,27.0,3,153.0,1.0,243.92000000000007,257,0,0
100.66,2485,1,9,1,50.0,0,144.0,1.0,14473.33,330,0,0
485.54,2330,1,21,2,19.0,3,148.0,1.0,1533.3199999999997,285,0,0
321.15,268,1,20,1,46.0,0,179.0,1.0,7005.05,10,1,1
711.3,1176,1,38,1,21.0,3,51.0,1.0,955.3999999999996,189,2,2
12.230000000000018,1897,1,15,0,42.0,1,139.0,1.0,7844.88,66,0,0
350.94,2034,1,7,0,20.0,3,64.0,1.0,221.5600000000004,252,0,0
301.85,720,1,8,2,54.0,1,25.0,1.0,6586.19,222,1,1
29.339999999999975,480,1,21,2,65.0,2,30.0,1.0,3944.82,318,1,1
231.71,747,1,33,1,27.0,3,148.0,1.0,1127.9799999999996,39,1,1
179.43,1478,1,28,0,58.0,2,244.0,1.0,2626.63,217,2,2
36.70999999999998,188,1,17,1,48.0,0,55.0,1.0,6459.38,320,1,1
138.12,683,0,20,1,53.0,0,281.0,1.0,1649.69,299,1,1
233.24,711,1,21,0,33.0,1,72.0,1.0,6939.23,76,1,1
609.14,2198,1,40,0,39.0,1,177.0,1.0,9033.87,309,0,0
436.64,2442,1,20,1,31.0,0,111.0,1.0,14365.18,120,0,0
870.43,991,1,20,1,29.0,0,55.0,1.0,10115.18,89,2,2
354.4,2083,1,6,0,74.0,2,128.0,1.0,7358.65,217,0,0
22.629999999999995,342,1,18,2,53.0,1,112.0,1.0,4438.03,272,1,1
182.19,1115,1,23,1,26.0,3,53.0,1.0,1176.0999999999995,4,2,2
126.81,2032,1,30,1,26.0,1,290.0,1.0,5427.98,358,0,0
288.17,1671,1,41,2,37.0,1,50.0,1.0,3653.11,233,2,2
118.76999999999998,1835,1,1,1,55.0,1,123.0,1.0,2104.82,246,0,0
651.82,700,1,16,0,21.0,3,166.0,1.0,1802.77,39,1,1
66.65,1950,1,11,0,37.0,1,33.0,1.0,3559.96,276,0,0
98.53,97,1,10,1,69.0,2,166.0,1.0,3564.8,295,1,1
138.95000000000002,1001,1,42,2,71.0,2,30.0,1.0,6752.92,134,2,2
33.889999999999986,2108,1,26,1,26.0,3,177.0,1.0,1444.75,312,0,0
23.70999999999998,1723,1,1,1,58.0,0,164.0,1.0,10788.89,173,0,0
1830.0,424,1,35,2,55.0,1,238.0,1.0,2235.7,335,1,1
26.060000000000002,2410,1,36,0,65.0,0,283.0,1.0,12893.63,336,0,0
17.069999999999993,788,1,20,1,27.0,1,44.0,1.0,2798.15,301,1,1
703.89,1772,1,35,2,46.0,1,62.0,1.0,3583.67,21,0,0
1271.9,1582,1,15,0,47.0,1,155.0,1.0,2120.8,184,2,2
26.55000000000001,1757,1,15,0,77.0,2,228.0,1.0,3085.38,60,0,0
147.4,1053,1,38,1,42.0,1,259.0,1.0,6797.71,55,2,2
202.11,606,1,22,0,27.0,3,18.0,1.0,746.4700000000003,218,1,1
308.42,796,1,26,1,75.0,2,39.0,1.0,5427.81,11,1,1
11.180000000000007,397,1,24,0,53.0,1,144.0,1.0,7467.3,273,1,1
294.15,208,1,14,2,38.0,1,136.0,1.0,6362.16,57,1,1
139.45,1253,1,4,2,27.0,3,31.0,1.0,1305.7600000000002,225,2,2
432.63,1200,1,7,0,29.0,0,137.0,1.0,13648.36,241,2,2
131.43000000000004,206,1,5,2,43.0,0,65.0,1.0,1337.5,348,1,1
516.72,1884,1,23,0,42.0,1,128.0,1.0,2015.69,311,0,0
121.82,246,1,7,2,69.0,0,123.0,3.0,8354.54,104,1,1
374.5,1336,0,37,1,26.0,3,178.0,1.0,1671.5100000000002,134,2,2
166.13,1658,1,29,0,68.0,0,227.0,1.0,11822.53,344,2,2
626.9,1886,1,6,0,23.0,3,146.0,1.0,587.1099999999997,306,0,0
466.85,1291,1,2,1,56.0,2,165.0,1.0,5422.53,192,2,2
788.84,893,1,31,2,58.0,2,231.0,1.0,1913.73,199,2,2
525.28,631,1,7,0,69.0,2,134.0,1.0,4693.6,196,1,1
110.17000000000002,1662,2,33,0,30.0,1,137.0,1.0,464.1999999999998,347,2,2
